,year,countries,population
0,2015,be,11274196
5,2015,de,5683483
10,2015,dk,81686611
15,2015,ie,4701957
20,2015,es,46444832
25,2015,fr,66548272
30,2015,it,60730582
35,2015,lu,569604
40,2015,nl,16939923
45,2015,at,8642699
50,2015,pt,10358076
55,2015,se,9799186
60,2015,no,5188607
65,2015,ch,8282396
70,2015,gb,65116219
75,2016,be,11331422
80,2016,de,5728010
85,2016,dk,82348669
90,2016,ie,4755335
95,2016,es,46484062
100,2016,fr,66724104
105,2016,it,60627498
110,2016,lu,582014
115,2016,nl,17030314
120,2016,at,8736668
125,2016,pt,10325452
130,2016,se,9923085
135,2016,no,5234519
140,2016,ch,8373338
145,2016,gb,65611593
150,2017,be,11375158
155,2017,de,5764980
160,2017,dk,82657002
165,2017,ie,4807388
170,2017,es,46593236
175,2017,fr,66918020
180,2017,it,60536709
185,2017,lu,596336
190,2017,nl,17131296
195,2017,at,8797566
200,2017,pt,10300300
205,2017,se,10057698
210,2017,no,5276968
215,2017,ch,8451840
220,2017,gb,66058859
225,2018,be,11427054
230,2018,de,5793636
235,2018,dk,82905782
240,2018,ie,4867316
245,2018,es,46797754
250,2018,fr,67101930
255,2018,it,60421760
260,2018,lu,607950
265,2018,nl,17231624
270,2018,at,8840521
275,2018,pt,10283822
280,2018,se,10175214
285,2018,no,5311916
290,2018,ch,8514329
295,2018,gb,66460344
300,2019,be,11488980
305,2019,de,5814422
310,2019,dk,83092962
315,2019,ie,4934340
320,2019,es,47134837
325,2019,fr,67248926
330,2019,it,59729081
335,2019,lu,620001
340,2019,nl,17344874
345,2019,at,8879920
350,2019,pt,10286263
355,2019,se,10278887
360,2019,no,5347896
365,2019,ch,8575280
370,2019,gb,66836327
